fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,quality_label,wine_type,alcohol_g_per_L,acidity_to_alcohol_ratio,SO2_ratio,alc_acid_ratio
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,medium,red,72.58800000000001,0.10883341599162395,30.357142857142854,116.45569620253163
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,medium,red,74.166,0.12000107866138124,48.333333333333336,105.61797752808988
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,low,red,76.533,0.09930356839533272,32.3943661971831,127.63157894736841
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,low,red,74.955,0.105396571276099,27.027027027027028,120.25316455696202
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,low,red,74.166,0.11460777175525173,13.432835820895523,110.58823529411765
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,medium,red,76.533,0.09015718709576262,52.5,140.5797101449275
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,low,red,73.37700000000001,0.08585796639273885,47.82608695652174,147.61904761904762
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,low,red,74.955,0.10139416983523447,36.36363636363637,125.0
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,low,red,74.955,0.105396571276099,27.027027027027028,120.25316455696202
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,low,red,74.166,0.0957311975837985,40.0,132.3943661971831
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,medium,red,77.322,0.10087685264219756,50.0,125.64102564102566
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,low,red,79.68900000000001,0.08407684874951372,20.73170731707317,150.7462686567164
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,medium,red,83.634,0.08250233158763183,59.45945945945946,153.6231884057971
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,low,red,77.322,0.10734331755515895,13.274336283185843,118.07228915662651
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,medium,red,74.166,0.09303454413073377,48.19277108433735,136.23188405797103
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,low,red,72.58800000000001,0.07163718520967652,26.0,176.9230769230769
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,medium,red,75.744,0.10297845373891001,27.77777777777778,123.07692307692308
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,medium,red,85.212,0.09153640332347557,20.0,138.46153846153848
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,medium,red,76.533,0.10583669789502567,43.333333333333336,119.75308641975309
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,low,red,77.322,0.07371770000775976,36.84210526315789,171.9298245614035
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,low,red,82.845,0.08811636188062043,13.793103448275861,143.83561643835617
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,low,red,82.845,0.08811636188062043,13.793103448275861,143.83561643835617
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,low,red,73.37700000000001,0.11992858797715905,36.95652173913043,105.68181818181819
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,medium,red,82.845,0.09053050878145935,57.14285714285714,140.0
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,low,red,81.26700000000001,0.09967145335745135,39.130434782608695,127.16049382716051
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,low,red,74.955,0.09072109932626242,45.45454545454545,139.7058823529412
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,low,red,103.35900000000001,0.044505074545999855,12.307692307692308,284.7826086956522
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,low,red,72.58800000000001,0.10607813963740562,19.298245614035086,119.48051948051948
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,low,red,74.955,0.11606964178507104,32.432432432432435,109.19540229885058
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,low,red,72.58800000000001,0.0881688433349865,41.66666666666667,143.74999999999997
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,low,red,72.58800000000001,0.07714773791811318,12.5,164.28571428571428
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,low,red,72.58800000000001,0.12123215958560643,17.391304347826086,104.54545454545452
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,medium,red,74.166,0.08898956395113664,53.333333333333336,142.42424242424244
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,medium,red,74.166,0.08898956395113664,42.857142857142854,142.42424242424244
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,low,red,74.166,0.1159560984817841,25.210084033613445,109.30232558139537
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,medium,red,80.47800000000001,0.09443574641516934,45.20547945205479,134.21052631578948
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,low,red,74.955,0.10272830364885599,55.55555555555556,123.37662337662339
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,low,red,75.744,0.1346641318124208,40.0,94.11764705882352
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,low,red,74.166,0.101124504489928,45.45454545454545,125.33333333333334
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,low,red,78.9,0.0988593155893536,31.48148148148148,128.2051282051282
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,medium,red,74.166,0.09842785103686326,19.565217391304348,128.76712328767124
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,low,red,72.58800000000001,0.12123215958560643,36.53846153846153,104.54545454545452
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,low,red,73.37700000000001,0.10493751448001416,17.857142857142858,120.7792207792208
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,medium,red,74.955,0.10006003602161297,34.285714285714285,126.66666666666666
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,low,red,77.322,0.09053050878145935,24.074074074074073,140.0
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,low,red,86.001,0.08371995674468902,36.36363636363637,151.38888888888889
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,low,red,86.001,0.08371995674468902,36.36363636363637,151.38888888888889
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,low,red,75.744,0.09901774397972117,28.205128205128204,128.0
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,low,red,84.423,0.07817774777015742,40.0,162.12121212121212
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,low,red,84.423,0.11015955367613092,41.53846153846154,115.0537634408602
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,medium,red,82.845,0.09656587603355664,42.10526315789473,131.25
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,medium,red,74.955,0.10272830364885599,55.55555555555556,123.37662337662339
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,low,red,74.955,0.10272830364885599,17.708333333333336,123.37662337662339
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,low,red,74.955,0.10272830364885599,19.148936170212767,123.37662337662339
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,low,red,72.58800000000001,0.11434396870006061,25.581395348837212,110.84337349397589
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,low,red,75.744,0.12806294888043937,33.734939759036145,98.96907216494846
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,low,red,82.845,0.10622246363691232,21.428571428571427,119.31818181818181
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,low,red,82.845,0.10622246363691232,21.428571428571427,119.31818181818181
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,medium,red,84.423,0.08054677042985915,46.666666666666664,157.35294117647058
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,low,red,79.68900000000001,0.08407684874951372,15.0,150.7462686567164
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,low,red,71.799,0.11560049582863272,22.689075630252102,109.63855421686746
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,low,red,72.58800000000001,0.08541356698076816,20.0,148.38709677419354
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,low,red,74.166,0.10516948466952512,32.83582089552239,120.51282051282053
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,low,red,71.799,0.10306550230504603,28.767123287671232,122.97297297297295
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,low,red,74.166,0.09842785103686326,31.372549019607842,128.76712328767124
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,medium,red,81.26700000000001,0.07752224150023994,29.508196721311474,163.49206349206352
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,low,red,79.68900000000001,0.08658660542860369,47.5,146.37681159420288
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,medium,red,78.111,0.11009972987159299,14.705882352941178,115.11627906976744
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,low,red,75.744,0.10165821715251373,29.03225806451613,124.67532467532467
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,low,red,74.955,0.1240744446668001,27.200000000000003,102.15053763440861
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,low,red,71.01,0.09857766511758906,33.33333333333333,128.57142857142858
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,low,red,74.955,0.105396571276099,30.0,120.25316455696202
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,medium,red,78.111,0.11009972987159299,14.705882352941178,115.11627906976744
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,low,red,77.322,0.11122319650293577,14.285714285714285,113.95348837209302
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,low,red,75.744,0.10165821715251373,29.03225806451613,124.67532467532467
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,low,red,82.845,0.0603536725209729,48.23529411764706,210.0
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,medium,red,101.781,0.04617757734744206,16.037735849056602,274.468085106383
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,low,red,84.423,0.08054677042985915,34.78260869565217,157.35294117647058
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,low,red,72.58800000000001,0.09643467239764147,13.636363636363635,131.42857142857142
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,low,red,77.322,0.098290266677013,50.0,128.94736842105266
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,medium,red,71.01,0.11406844106463877,37.142857142857146,111.11111111111111
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,medium,red,80.47800000000001,0.10313377569025076,22.0,122.89156626506022
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,medium,red,82.056,0.09505703422053233,36.36363636363637,133.33333333333334
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,medium,red,71.01,0.11406844106463877,37.142857142857146,111.11111111111111
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,low,red,72.58800000000001,0.11158869234584227,18.461538461538463,113.58024691358024
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,low,red,74.166,0.09707952431033089,13.88888888888889,130.55555555555557
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,low,red,72.58800000000001,0.11158869234584227,18.461538461538463,113.58024691358024
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,low,red,73.37700000000001,0.10630033934339096,26.08695652173913,119.23076923076925
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,low,red,73.37700000000001,0.08449514152936205,23.4375,150.0
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,medium,red,75.744,0.10561892691170258,22.5,120.0
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,low,red,73.37700000000001,0.11038881393352139,24.18300653594771,114.81481481481484
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,low,red,74.955,0.10406243746247748,25.53191489361702,121.79487179487181
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,low,red,77.322,0.10863661053775123,10.185185185185185,116.66666666666667
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,low,red,77.322,0.10863661053775123,12.612612612612612,116.66666666666667
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,medium,red,76.533,0.13196921589379745,47.82608695652174,96.03960396039604
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,low,red,74.955,0.10406243746247748,25.53191489361702,121.79487179487181
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,medium,red,82.845,0.11346490433942906,20.967741935483872,111.70212765957446
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,medium,red,78.9,0.10519645120405577,27.500000000000004,120.48192771084337
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,medium,red,74.166,0.10516948466952512,25.0,120.51282051282053
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,medium,red,86.001,0.10232439157684213,25.0,123.86363636363636
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,medium,red,72.58800000000001,0.09643467239764147,24.719101123595504,131.42857142857142
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,low,red,71.01,0.10280242219405716,11.235955056179774,123.28767123287672
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,medium,red,86.001,0.10232439157684213,25.0,123.86363636363636
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,low,red,72.58800000000001,0.10056758692896896,23.076923076923077,126.02739726027397
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,low,red,74.955,0.1067307050897205,32.35294117647059,118.75
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,low,red,74.955,0.10406243746247748,20.588235294117645,121.79487179487181
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,low,red,74.166,0.1213494053879136,30.0,104.44444444444446
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,low,red,86.001,0.0953477285147847,25.0,132.9268292682927
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,low,red,86.001,0.09418495133777513,25.0,134.56790123456793
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,medium,red,82.845,0.09656587603355664,18.75,131.25
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,low,red,74.166,0.08224793031847477,31.57894736842105,154.0983606557377
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,low,red,74.166,0.10786613812258987,22.388059701492537,117.5
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,low,red,102.57000000000001,0.05459686068051086,17.17171717171717,232.14285714285717
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,low,red,102.57000000000001,0.05459686068051086,17.17171717171717,232.14285714285717
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,medium,red,77.322,0.08535733685109023,65.38461538461539,148.4848484848485
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,medium,red,78.111,0.10113812395181217,44.827586206896555,125.31645569620254
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,low,red,75.744,0.11089987325728771,25.396825396825395,114.28571428571428
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,low,red,74.955,0.11073310653058503,19.230769230769234,114.45783132530119
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,low,red,72.58800000000001,0.0991899487518598,28.888888888888886,127.77777777777777
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,low,red,74.955,0.10406243746247748,14.285714285714285,121.79487179487181
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,low,red,74.955,0.10406243746247748,15.74074074074074,121.79487179487181
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,low,red,75.744,0.11089987325728771,25.396825396825395,114.28571428571428
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,low,red,74.955,0.11073310653058503,19.230769230769234,114.45783132530119
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,medium,red,110.46000000000001,0.047075864566358865,42.857142857142854,269.2307692307692
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,low,red,74.166,0.08494458377153952,15.0,149.20634920634922
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,medium,red,110.46000000000001,0.047075864566358865,42.857142857142854,269.2307692307692
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,low,red,74.166,0.10921446484912224,22.69503546099291,116.0493827160494
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,low,red,78.9,0.07351077313054499,22.340425531914892,172.41379310344828
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,low,red,73.37700000000001,0.10357468961663735,11.363636363636363,122.36842105263159
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,medium,red,80.47800000000001,0.08573771714008797,40.0,147.82608695652172
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,medium,red,82.845,0.09898002293439555,25.581395348837212,128.0487804878049
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,medium,red,81.26700000000001,0.08982735919869073,45.45454545454545,141.0958904109589
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,low,red,74.166,0.12404605884097834,46.3768115942029,102.17391304347827
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,low,red,79.68900000000001,0.09411587546587358,25.252525252525253,134.66666666666666
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,low,red,79.68900000000001,0.09411587546587358,25.252525252525253,134.66666666666666
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,low,red,82.845,0.08570221497978152,22.48062015503876,147.88732394366198
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,low,red,82.845,0.08570221497978152,21.875,147.88732394366198
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,low,red,82.845,0.08570221497978152,22.48062015503876,147.88732394366198
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,low,red,82.845,0.08570221497978152,21.875,147.88732394366198
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,low,red,73.37700000000001,0.09676056529975331,54.54545454545454,130.98591549295776
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,medium,red,73.37700000000001,0.09267209070962289,20.930232558139537,136.76470588235296
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,low,red,75.744,0.10033798056611744,35.0,126.3157894736842
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4,low,red,72.58800000000001,0.10470050146029646,45.0,121.05263157894737
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,medium,red,78.9,0.0988593155893536,54.83870967741935,128.2051282051282
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,low,red,74.166,0.09977617776339563,29.75206611570248,127.02702702702702
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,low,red,74.166,0.09842785103686326,28.92561983471074,128.76712328767124
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,low,red,74.955,0.10406243746247748,14.583333333333334,121.79487179487181
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,low,red,80.47800000000001,0.08449514152936205,17.82178217821782,150.0
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,low,red,71.01,0.10280242219405716,40.476190476190474,123.28767123287672
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,medium,red,82.056,0.08287023496148971,25.0,152.94117647058826
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5,low,red,74.955,0.10006003602161297,23.809523809523807,126.66666666666666
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4,low,red,71.799,0.11002938759592751,50.0,115.18987341772151
