fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,quality_label,wine_type,alcohol_g_per_L,acidity_to_alcohol_ratio,SO2_ratio,alc_acid_ratio,density_to_sugar_ratio,sugar_to_sulfur
6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7,medium,white,97.836,0.06745983073715196,33.56643356643357,187.87878787878788,0.6607999999999999,0.01048951048951049
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5,low,white,76.533,0.10844994969490286,23.837209302325583,116.86746987951805,0.05195844155844156,0.1119186046511628
6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7,medium,white,89.946,0.07337735974918284,25.0,172.72727272727275,0.6609333333333333,0.013392857142857142
6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6,medium,white,75.744,0.08317490494296578,30.303030303030305,152.38095238095238,0.9025454545454545,0.011111111111111112
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,high,white,100.992,0.06139100126742712,38.666666666666664,206.4516129032258,0.8243333333333334,0.016
7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6,medium,white,89.15700000000001,0.08299965229875388,9.941520467836257,152.7027027027027,0.9015454545454545,0.006432748538011696
6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,5,low,white,74.955,0.0867186978853979,25.563909774436087,146.15384615384613,0.13273333333333334,0.05639097744360902
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,high,white,100.992,0.06139100126742712,38.666666666666664,206.4516129032258,0.8243333333333334,0.016
6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,7,medium,white,86.79,0.07374121442562508,18.627450980392158,171.875,0.34179310344827585,0.028431372549019607
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,8,high,white,82.845,0.08208099462852314,33.60655737704918,154.41176470588235,0.5841176470588235,0.013934426229508197
7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,5,low,white,73.37700000000001,0.10357468961663735,14.880952380952381,122.36842105263159,0.6624666666666666,0.008928571428571428
6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,3.42,0.47,10.0,6,medium,white,78.9,0.08365019011406843,11.267605633802818,151.5151515151515,0.7654615384615384,0.009154929577464789
7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,0.5,10.4,6,medium,white,82.056,0.08530759481329823,22.857142857142858,148.57142857142858,0.11061111111111112,0.036734693877551024
6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,6,medium,white,78.9,0.08745247148288973,23.972602739726025,144.92753623188406,0.993,0.00684931506849315
7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,6,medium,white,82.845,0.08449514152936206,22.69503546099291,150.0,0.11449425287356323,0.06170212765957446
7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,6,medium,white,91.524,0.08085310956688956,12.878787878787879,156.75675675675674,0.9012727272727271,0.008333333333333333
7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,7,medium,white,97.04700000000001,0.07419085597700083,32.45614035087719,170.83333333333334,0.4953,0.017543859649122806
8.5,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,6,medium,white,78.9,0.10773130544993662,14.084507042253522,117.64705882352942,0.09590384615384615,0.07323943661971831
8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,6,medium,white,80.47800000000001,0.10313377569025076,14.893617021276595,122.89156626506022,0.9030909090909089,0.02340425531914894
7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,6,medium,white,85.212,0.08684222879406657,31.0,145.94594594594594,0.4839024390243903,0.020499999999999997
6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,6,medium,white,71.01,0.08731164624700746,36.75213675213676,145.16129032258064,0.6626,0.01282051282051282
5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,5,low,white,80.47800000000001,0.07206938542210292,12.290502793296088,175.86206896551724,0.06663545150501672,0.0835195530726257
7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,5,low,white,100.992,0.07228295310519645,17.073170731707318,175.34246575342468,0.5826470588235294,0.013821138211382113
6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,5,low,white,78.9,0.082382762991128,16.778523489932887,153.84615384615387,0.18396296296296294,0.036241610738255034
7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,6,medium,white,88.36800000000001,0.07921419518377693,27.536231884057973,160.0,0.8255,0.008695652173913044
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5,low,white,67.854,0.10758393020308309,30.201342281879196,117.8082191780822,0.05570473537604457,0.12046979865771812
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5,low,white,67.854,0.10758393020308309,30.201342281879196,117.8082191780822,0.05570473537604457,0.12046979865771812
6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,9.4,6,medium,white,74.166,0.09033789067766902,39.87341772151899,140.2985074626866,0.39748,0.015822784810126583
6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,3.1,0.34,9.4,6,medium,white,74.166,0.09033789067766902,40.12738853503185,140.2985074626866,0.3426551724137931,0.018471337579617834
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6,medium,white,77.322,0.09053050878145935,17.5,140.0,0.1345135135135135,0.04625
6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,6,medium,white,74.955,0.08805283169901941,21.710526315789476,143.93939393939394,0.7095714285714286,0.009210526315789473
6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,6,medium,white,74.955,0.08938696551264093,21.428571428571427,141.79104477611938,0.7095714285714286,0.00909090909090909
7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,7,medium,white,78.9,0.09378960709759189,22.75449101796407,135.13513513513513,0.7093571428571429,0.008383233532934131
6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,3.27,0.52,9.8,4,low,white,77.322,0.08018416492072114,30.582524271844658,158.06451612903228,0.2259090909090909,0.021359223300970877
6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,0.52,9.8,5,low,white,77.322,0.08018416492072114,29.951690821256037,158.06451612903228,0.2258863636363636,0.021256038647342997
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6,medium,white,77.322,0.09053050878145935,17.5,140.0,0.1345135135135135,0.04625
6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,3.36,0.48,9.8,5,low,white,77.322,0.08923721579886708,21.333333333333336,142.02898550724638,0.199,0.03333333333333333
7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,6,medium,white,92.313,0.07799551525787267,17.91907514450867,162.49999999999997,0.6198125,0.009248554913294798
6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,7,medium,white,86.79,0.07604562737642584,31.451612903225808,166.66666666666669,0.9012727272727271,0.008870967741935484
6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,7,medium,white,86.001,0.07209218497459331,25.609756097560975,175.80645161290323,0.9009090909090909,0.013414634146341465
6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,3.31,0.35,10.9,6,medium,white,86.001,0.07441773932861245,36.11111111111111,170.3125,0.9911,0.009259259259259259
6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,3.05,0.38,9.1,6,medium,white,71.799,0.09470883995598824,28.78787878787879,133.8235294117647,1.1033333333333333,0.006818181818181819
6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,6,medium,white,86.79,0.07950224680262703,15.18324607329843,159.42028985507247,0.7621538461538462,0.00680628272251309
7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,0.5,9.6,6,medium,white,75.744,0.09505703422053233,17.370892018779344,133.33333333333331,0.08371428571428571,0.05586854460093897
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,medium,white,70.221,0.08544452514205152,34.01360544217687,148.33333333333334,0.08041935483870967,0.08435374149659865
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6,medium,white,80.47800000000001,0.08200999030791023,32.05128205128205,154.54545454545453,0.2158913043478261,0.05897435897435897
7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,6,medium,white,78.111,0.09473697686625443,39.63963963963964,133.78378378378378,0.8271666666666667,0.01081081081081081
6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,6,medium,white,67.854,0.10021516786040617,24.390243902439025,126.47058823529412,0.2030816326530612,0.03983739837398374
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,medium,white,70.221,0.08544452514205152,34.01360544217687,148.33333333333334,0.08041935483870967,0.08435374149659865
7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,10.5,5,low,white,82.845,0.08449514152936206,11.258278145695364,150.0,0.9009090909090909,0.00728476821192053
6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6,medium,white,80.47800000000001,0.08200999030791023,32.05128205128205,154.54545454545453,0.2158913043478261,0.05897435897435897
7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,6,medium,white,81.26700000000001,0.08859684742884565,25.40983606557377,143.05555555555557,0.7090714285714287,0.011475409836065573
6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,3.22,0.54,9.1,5,low,white,71.799,0.08635217760693045,24.166666666666668,146.77419354838707,0.8278333333333333,0.01
6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,7,medium,white,99.414,0.06437725068903777,21.774193548387096,196.87499999999997,0.15473437499999998,0.05161290322580645
6.7,0.25,0.13,1.2,0.041,81.0,174.0,0.992,3.14,0.42,9.8,5,low,white,77.322,0.08665062983368252,46.55172413793103,146.26865671641792,0.8266666666666667,0.006896551724137931
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,high,white,84.423,0.0793622591000083,31.25,159.7014925373134,0.4726666666666667,0.021875000000000002
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5,low,white,74.955,0.09872590220799146,20.0,128.3783783783784,0.09863366336633664,0.09619047619047619
6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,9.0,6,medium,white,71.01,0.08731164624700746,19.672131147540984,145.16129032258064,0.12764102564102564,0.031967213114754096
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,low,white,74.955,0.09072109932626242,21.17400419287212,139.7058823529412,0.21647826086956523,0.019287211740041926
6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,5,low,white,78.9,0.07604562737642585,15.422885572139302,166.66666666666669,0.20758333333333334,0.023880597014925373
8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49,9.1,6,medium,white,71.799,0.11977882700316159,12.5,105.8139534883721,0.9941,0.013888888888888888
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,high,white,84.423,0.0793622591000083,31.25,159.7014925373134,0.4726666666666667,0.021875000000000002
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5,low,white,74.955,0.09872590220799146,20.0,128.3783783783784,0.09863366336633664,0.09619047619047619
7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,3.26,0.37,12.7,7,medium,white,100.203,0.07085616199115795,35.63218390804598,178.8732394366197,0.7070000000000001,0.016091954022988506
7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7,medium,white,94.68,0.0739332488381918,28.985507246376812,171.42857142857142,0.7624615384615384,0.01884057971014493
7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,5,low,white,73.37700000000001,0.10084903988988374,25.24271844660194,125.67567567567568,0.1131931818181818,0.08543689320388351
6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,5,low,white,71.01,0.09435290804112097,20.0,134.32835820895522,0.18424074074074073,0.051428571428571435
6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,6,medium,white,83.634,0.08130664562259368,29.82456140350877,155.88235294117646,0.7092142857142858,0.012280701754385965
7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6,medium,white,72.58800000000001,0.09781231057475064,30.72289156626506,129.5774647887324,0.06240625,0.0963855421686747
7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,10.0,5,low,white,78.9,0.08998732572877058,28.65853658536585,140.84507042253523,0.16304918032786886,0.03719512195121951
7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,6,medium,white,74.955,0.09739176839436996,20.28985507246377,130.13698630136986,0.12153658536585367,0.0396135265700483
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,low,white,68.643,0.10343370773421907,34.83870967741935,122.53521126760563,0.08452542372881355,0.07612903225806453
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6,medium,white,68.643,0.10343370773421907,34.21052631578947,122.53521126760563,0.08453389830508475,0.07763157894736843
7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6,medium,white,68.643,0.10489052051920808,35.256410256410255,120.83333333333333,0.09067272727272727,0.07051282051282051
6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,6,medium,white,76.533,0.08885056119582402,34.15841584158416,142.64705882352942,0.07497744360902255,0.06584158415841584
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,low,white,68.643,0.10343370773421907,34.83870967741935,122.53521126760563,0.08452542372881355,0.07612903225806453
7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6,medium,white,68.643,0.10343370773421907,34.21052631578947,122.53521126760563,0.08453389830508475,0.07763157894736843
7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6,medium,white,68.643,0.10489052051920808,35.256410256410255,120.83333333333333,0.09067272727272727,0.07051282051282051
6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,5,low,white,71.01,0.08590339388818476,26.74897119341564,147.54098360655738,0.13276000000000002,0.030864197530864196
6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,12.6,7,medium,white,99.414,0.06940672339911884,34.55882352941176,182.6086956521739,0.5823529411764706,0.012499999999999999
6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,3.25,0.41,12.6,7,medium,white,99.414,0.06940672339911884,35.294117647058826,182.6086956521739,0.5499444444444445,0.013235294117647059
7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,7,medium,white,90.735,0.08265829062654985,34.45945945945946,153.33333333333334,0.5832941176470589,0.011486486486486485
7.1,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,3.04,0.42,9.2,6,medium,white,72.58800000000001,0.09781231057475064,25.833333333333336,129.5774647887324,0.08039516129032258,0.051666666666666666
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6,medium,white,69.432,0.08641548565502938,15.853658536585366,146.66666666666669,0.06276100628930817,0.09695121951219512
8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36,11.4,7,medium,white,89.946,0.09561292330954128,18.75,132.55813953488374,0.8260833333333333,0.015
9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.9956,2.89,0.3,10.1,4,low,white,79.68900000000001,0.12297807727540815,4.819277108433735,103.0612244897959,0.09481904761904762,0.12650602409638553
6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6,medium,white,69.432,0.08641548565502938,15.853658536585366,146.66666666666669,0.06276100628930817,0.09695121951219512
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5,low,white,71.799,0.10306550230504603,27.083333333333332,122.97297297297295,0.07388888888888889,0.0703125
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,5,low,white,74.166,0.0957311975837985,39.50617283950617,132.3943661971831,0.10377083333333334,0.059259259259259255
6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,5,low,white,74.166,0.0808996035919424,33.53658536585366,156.66666666666666,0.08239669421487604,0.07378048780487804
7.5,0.305,0.4,18.9,0.059,44.0,170.0,1.0,2.99,0.46,9.0,5,low,white,71.01,0.10561892691170258,25.882352941176475,120.0,0.052910052910052914,0.11117647058823528
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5,low,white,71.799,0.10306550230504603,27.083333333333332,122.97297297297295,0.07388888888888889,0.0703125
7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.9974,3.2,0.35,9.2,6,medium,white,72.58800000000001,0.10056758692896896,31.19266055045872,126.02739726027397,0.06926388888888889,0.13211009174311927
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,5,low,white,74.166,0.0957311975837985,39.50617283950617,132.3943661971831,0.10377083333333334,0.059259259259259255
7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,6,medium,white,71.799,0.09888717113051712,35.08771929824561,128.16901408450704,0.06054545454545455,0.09649122807017543
7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,6,medium,white,71.799,0.09888717113051712,35.08771929824561,128.16901408450704,0.06054545454545455,0.09649122807017543
6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,5,low,white,81.26700000000001,0.08490531211931042,19.786096256684495,149.27536231884056,0.7636153846153846,0.006951871657754011
6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,2.89,0.39,8.8,6,medium,white,69.432,0.09361677612628183,39.263803680981596,135.3846153846154,0.11716470588235295,0.05214723926380368
7.2,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,5,low,white,70.221,0.10253343017046182,17.647058823529413,123.61111111111111,0.05333333333333334,0.07352941176470588
7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5,low,white,72.58800000000001,0.0991899487518598,34.87179487179487,127.77777777777777,0.07505263157894736,0.06820512820512821
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5,low,white,71.799,0.09331606289781194,19.333333333333332,135.82089552238804,0.10834782608695653,0.06133333333333333
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5,low,white,71.799,0.09331606289781194,19.333333333333332,135.82089552238804,0.10834782608695653,0.06133333333333333
5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7,4,low,white,76.533,0.07186442449662236,7.766990291262135,176.36363636363635,0.6626666666666666,0.014563106796116505
6.0,0.31,0.24,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,11.3,6,medium,white,89.15700000000001,0.067297015377368,17.482517482517483,188.33333333333334,0.3004242424242424,0.023076923076923075
7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.9911,3.19,0.42,11.8,6,medium,white,93.102,0.07518635475070352,18.823529411764707,168.57142857142858,0.583,0.02
7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5,low,white,72.58800000000001,0.0991899487518598,34.87179487179487,127.77777777777777,0.07505263157894736,0.06820512820512821
7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,5,low,white,72.58800000000001,0.10056758692896896,29.081632653061224,126.02739726027397,0.07505263157894736,0.06785714285714287
5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,5,low,white,80.47800000000001,0.07331196103282885,24.137931034482758,172.88135593220338,0.17428070175438595,0.06551724137931035
7.8,0.24,0.32,12.2,0.054,42.0,138.0,0.9984,3.01,0.54,8.8,5,low,white,69.432,0.11234013135153818,30.434782608695656,112.82051282051285,0.08183606557377049,0.08840579710144927
7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7,5,low,white,76.533,0.09669031659545556,23.66412213740458,131.08108108108107,0.14528467153284672,0.05229007633587786
6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,0.36,9.1,6,medium,white,71.799,0.09610161701416454,9.58904109589041,131.88405797101447,0.19904,0.03424657534246575
6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,6,medium,white,77.322,0.0827707508859057,25.31645569620253,153.125,0.6204999999999999,0.010126582278481013
6.7,0.19,0.36,1.1,0.026,63.0,143.0,0.9912,3.27,0.48,11.0,6,medium,white,86.79,0.07719783385182624,44.05594405594406,164.17910447761193,0.9010909090909089,0.007692307692307693
7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.994,3.14,0.42,10.5,5,low,white,82.845,0.0893234353310399,23.015873015873016,141.89189189189187,0.142,0.05555555555555555
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7,medium,white,76.533,0.08493068349600826,23.645320197044335,149.2307692307692,0.13102631578947369,0.0374384236453202
6.1,0.3,0.56,2.8,0.044,47.0,179.0,0.9924,3.3,0.57,10.9,7,medium,white,86.001,0.07092940779758374,26.256983240223462,178.68852459016395,0.3544285714285714,0.015642458100558657
6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,6,medium,white,86.001,0.07092940779758374,25.0,178.68852459016395,0.3675555555555555,0.014673913043478261
5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.994,3.39,0.37,10.6,5,low,white,83.634,0.06815410000717412,12.280701754385964,185.96491228070172,0.09557692307692307,0.1824561403508772
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7,medium,white,76.533,0.08493068349600826,23.645320197044335,149.2307692307692,0.13102631578947369,0.0374384236453202
6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.9979,3.23,0.57,9.0,5,low,white,71.01,0.09153640332347555,24.481327800829874,138.46153846153845,0.07617557251908397,0.05435684647302905
6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.9982,3.24,0.51,9.2,5,low,white,72.58800000000001,0.09092411968920482,24.46808510638298,139.39393939393938,0.06317721518987342,0.08404255319148937
6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.9961,3.19,0.52,8.9,5,low,white,70.221,0.09683712849432505,27.093596059113302,130.88235294117646,0.12297530864197531,0.039901477832512314
6.7,0.27,0.31,15.7,0.036,44.0,179.0,0.9979,3.26,0.56,9.6,5,low,white,75.744,0.08845585128855091,24.581005586592177,143.28358208955223,0.06356050955414014,0.0877094972067039
8.2,0.23,0.4,1.2,0.027,36.0,121.0,0.992,3.12,0.38,10.7,6,medium,white,84.423,0.09712992904777133,29.75206611570248,130.4878048780488,0.8266666666666667,0.009917355371900825
7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,5,low,white,68.643,0.10343370773421907,31.61290322580645,122.53521126760563,0.095,0.06774193548387097
6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.9917,3.15,0.54,10.8,7,medium,white,85.212,0.07980096699995305,31.25,158.82352941176472,0.5219473684210527,0.019791666666666666
8.1,0.28,0.39,1.9,0.029,18.0,79.0,0.9923,3.23,0.52,11.8,6,medium,white,93.102,0.08700135335438551,22.78481012658228,145.67901234567904,0.5222631578947369,0.024050632911392405
